COTU_ID	Sample1	Sample2	NO_of_Seqs	Kingdom	Phylum	Class	Order	Family	Genus
COTU-TEST-0153	3	6	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Ruminococcaceae(1.0)	Pseudoflavonifractor(0.57)
COTU-TEST-0154	6	14	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Ruminococcaceae(0.96)	Pseudoflavonifractor(0.3)
COTU-TEST-0155	6	2	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Ruminococcaceae(1.0)	Sporobacter(0.46)
COTU-TEST-0156	10	22	1	Bacteria(1.0)	Firmicutes(1.0)	Erysipelotrichia(1.0)	Erysipelotrichales(1.0)	Erysipelotrichaceae(1.0)	Turicibacter(1.0)
COTU-TEST-0157	60	56	1	Bacteria(1.0)	Firmicutes(1.0)	Erysipelotrichia(1.0)	Erysipelotrichales(1.0)	Erysipelotrichaceae(1.0)	Turicibacter(1.0)
COTU-TEST-0158	42	31	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Acetatifactor(0.97)
COTU-TEST-0159	13	14	1	Bacteria(1.0)	Firmicutes(0.92)	Clostridia(0.86)	Clostridiales(0.86)	Clostridiales_IncertaeSedisXIII(0.4)	Anaerovorax(0.38)
COTU-TEST-0160	10	16	1	Bacteria(1.0)	Firmicutes(0.92)	Clostridia(0.83)	Clostridiales(0.83)	Clostridiales_IncertaeSedisXIII(0.42)	Anaerovorax(0.4)
COTU-TEST-0161	17	12	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(0.99)	Eubacteriaceae(0.56)	Eubacterium(0.56)
COTU-TEST-0162	13	62	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Rikenellaceae(1.0)	Alistipes(0.95)
COTU-TEST-0163	13	72	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Rikenellaceae(1.0)	Alistipes(0.95)
COTU-TEST-0164	12	43	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Anaerostipes(0.57)
COTU-TEST-0165	7	24	1	Bacteria(1.0)	Firmicutes(0.76)	Clostridia(0.76)	Clostridiales(0.76)	Ruminococcaceae(0.69)	Intestinimonas(0.16)
COTU-TEST-0166	10	2	1	Bacteria(1.0)	Firmicutes(0.95)	Clostridia(0.92)	Clostridiales(0.92)	Clostridiaceae1(0.52)	Anaerobacter(0.28)
COTU-TEST-2001	163	190	2	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Eisenbergiella(0.2)
COTU-TEST-2002	280	206	2	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	ClostridiumXlVa(0.63)
